,x,y
0,109,52
1,110,52
2,111,52
3,112,52
4,113,52
5,114,52
6,115,52
7,116,52
8,117,52
9,118,52
10,119,52
11,120,52
12,121,52
13,122,52
14,123,52
15,124,52
16,125,52
17,126,52
18,127,52
19,128,52
20,129,52
21,130,52
22,131,52
23,132,52
24,133,52
25,134,52
26,135,52
27,136,52
28,137,52
29,138,52
30,139,52
31,140,52
32,141,52
33,142,52
34,143,52
35,144,52
36,145,52
37,146,52
38,147,52
39,148,52
40,149,52
41,150,52
42,151,52
43,152,52
44,153,52
45,154,52
46,155,52
47,156,52
48,157,52
49,158,52
50,159,52
51,160,52
52,161,52
53,162,52
54,163,52
55,164,52
56,165,52
57,166,52
58,167,52
59,168,52
60,169,52
61,170,52
62,171,52
63,172,52
64,173,52
65,174,52
66,175,52
67,176,52
68,177,52
69,178,52
70,179,52
71,180,52
72,181,52
73,182,52
74,183,52
75,184,52
76,185,52
77,186,52
78,187,52
79,188,52
80,189,52
81,190,52
82,191,52
83,192,52
84,193,52
85,194,52
86,195,52
87,196,52
88,197,52
89,198,52
90,199,52
91,200,52
92,201,52
93,202,52
94,203,52
95,204,52
96,205,52
97,206,52
98,207,52
99,208,52
100,209,52
101,210,52
102,211,52
103,212,52
104,213,52
105,214,52
106,215,52
107,216,52
108,217,52
109,218,52
110,219,52
111,220,52
112,221,52
113,222,52
114,223,52
115,224,52
116,225,52
117,226,52
118,227,52
119,228,52
120,229,52
121,230,52
122,231,52
123,232,52
124,233,52
125,234,52
126,235,52
127,236,52
128,237,52
129,238,52
130,239,52
131,240,52
132,241,52
133,242,52
134,243,52
135,244,52
136,245,52
137,246,52
138,247,52
139,248,52
140,249,52
141,250,52
142,251,52
143,252,52
144,253,52
145,254,52
146,255,52
147,256,52
148,257,52
149,258,52
150,259,52
151,260,52
152,261,52
153,262,52
154,263,52
155,264,52
156,265,52
157,266,52
158,267,52
159,268,52
160,269,52
161,270,52
162,271,52
163,272,52
164,273,52
165,274,52
166,275,52
167,276,52
168,277,52
169,278,52
170,279,52
171,280,52
172,281,52
173,282,52
174,283,52
175,284,52
176,285,52
177,286,52
178,287,52
179,288,52
180,289,52
181,290,52
182,291,52
183,292,52
184,293,52
185,294,52
186,295,52
187,296,52
188,297,52
189,298,52
190,299,52
191,300,52
192,301,52
193,302,52
194,303,52
195,304,52
196,305,52
197,306,52
198,307,52
199,308,52
200,309,52
201,310,52
202,311,52
203,312,52
204,313,52
205,314,52
206,315,52
207,316,52
208,317,52
209,318,52
210,319,52
211,320,52
212,321,52
213,322,52
214,323,52
215,324,52
216,325,52
217,326,52
218,327,52
219,328,52
220,329,52
221,330,52
222,331,52
223,332,52
224,333,52
225,334,52
226,335,52
227,336,52
228,337,52
229,338,52
230,339,52
231,340,52
232,341,52
233,342,52
234,343,52
235,344,52
236,345,52
237,346,52
238,347,52
239,348,52
240,349,52
241,350,52
242,351,52
243,352,52
244,353,52
245,354,52
246,355,52
247,356,52
248,357,52
249,358,52
250,359,52
251,360,52
252,361,52
253,362,52
254,363,52
255,364,52
256,365,52
257,366,52
258,367,52
259,368,52
260,369,52
261,370,52
262,371,52
263,372,52
264,373,52
265,374,52
266,375,52
267,376,52
268,377,52
269,378,52
270,379,52
271,380,52
272,381,52
273,382,52
274,383,52
275,384,52
276,385,52
277,386,52
278,387,52
279,388,52
280,389,52
281,390,52
282,391,52
283,392,52
284,393,52
285,394,52
286,395,52
287,396,52
288,396,53
289,396,54
290,396,55
291,396,56
292,396,57
293,396,58
294,396,59
295,396,60
296,396,61
297,396,62
298,396,63
299,396,64
300,396,65
301,396,66
302,396,67
303,396,68
304,396,69
305,396,70
306,396,71
307,396,72
308,396,73
309,396,74
310,396,75
311,396,76
312,396,77
313,396,78
314,396,79
315,396,80
316,396,81
317,396,82
318,396,83
319,396,84
320,396,85
321,396,86
322,396,87
323,396,88
324,396,89
325,396,90
326,396,91
327,396,92
328,396,93
329,396,94
330,396,95
331,396,96
332,396,97
333,396,98
334,396,99
335,396,100
336,396,101
337,396,102
338,396,103
339,396,104
340,396,105
341,396,106
342,396,107
343,396,108
344,396,109
345,396,110
346,396,111
347,396,112
348,396,113
349,396,114
350,396,115
351,396,116
352,396,117
353,396,118
354,396,119
355,396,120
356,396,121
357,396,122
358,396,123
359,396,124
360,396,125
361,396,126
362,396,127
363,396,128
364,396,129
365,396,130
366,396,131
367,396,132
368,396,133
369,396,134
370,396,135
371,396,136
372,396,137
373,396,138
374,396,139
375,396,140
376,396,141
377,396,142
378,396,143
379,396,144
380,396,145
381,396,146
382,396,147
383,396,148
384,396,149
385,396,150
386,396,151
387,396,152
388,396,153
389,396,154
390,396,155
391,396,156
392,396,157
393,396,158
394,396,159
395,396,160
396,396,161
397,396,162
398,396,163
399,396,164
400,396,165
401,396,166
402,396,167
403,396,168
404,396,169
405,396,170
406,396,171
407,396,172
408,396,173
409,396,174
410,396,175
411,396,176
412,396,177
413,396,178
414,396,179
415,396,180
416,396,181
417,396,182
418,396,183
419,396,184
420,396,185
421,396,186
422,396,187
423,396,188
424,396,189
425,396,190
426,396,191
427,396,192
428,396,193
429,396,194
430,396,195
431,396,196
432,396,197
433,396,198
434,396,199
435,396,200
436,396,201
437,396,202
438,396,203
439,396,204
440,396,205
441,396,206
442,396,207
443,396,208
444,396,209
445,396,210
446,396,211
447,396,212
448,396,213
449,396,214
450,396,215
451,396,216
452,396,217
453,396,218
454,396,219
455,396,220
456,396,221
457,396,222
458,396,223
459,396,224
460,395,224
461,394,224
462,393,224
463,392,224
464,391,224
465,390,224
466,389,224
467,388,224
468,387,224
469,386,224
470,385,224
471,384,224
472,383,224
473,382,224
474,381,224
475,380,224
476,379,224
477,378,224
478,377,224
479,376,224
480,375,224
481,374,224
482,373,224
483,372,224
484,371,224
485,370,224
486,369,224
487,368,224
488,367,224
489,366,224
490,365,224
491,364,224
492,363,224
493,362,224
494,361,224
495,360,224
496,359,224
497,358,224
498,357,224
499,356,224
500,355,224
501,354,224
502,353,224
503,352,224
504,351,224
505,350,224
506,349,224
507,348,224
508,347,224
509,346,224
510,345,224
511,344,224
512,343,224
513,342,224
514,341,224
515,340,224
516,339,224
517,338,224
518,337,224
519,336,224
520,335,224
521,334,224
522,333,224
523,332,224
524,331,224
525,330,224
526,329,224
527,328,224
528,327,224
529,326,224
530,325,224
531,324,224
532,323,224
533,322,224
534,321,224
535,320,224
536,319,224
537,318,224
538,317,224
539,316,224
540,315,224
541,314,224
542,313,224
543,312,224
544,311,224
545,310,224
546,309,224
547,308,224
548,307,224
549,306,224
550,305,224
551,304,224
552,303,224
553,302,224
554,301,224
555,300,224
556,299,224
557,298,224
558,297,224
559,296,224
560,295,224
561,294,224
562,293,224
563,292,224
564,291,224
565,290,224
566,289,224
567,288,224
568,287,224
569,286,224
570,285,224
571,284,224
572,283,224
573,282,224
574,281,224
575,280,224
576,279,224
577,278,224
578,277,224
579,276,224
580,275,224
581,274,224
582,273,224
583,272,224
584,271,224
585,270,224
586,269,224
587,268,224
588,267,224
589,266,224
590,265,224
591,264,224
592,263,224
593,262,224
594,261,224
595,260,224
596,259,224
597,258,224
598,257,224
599,256,224
600,255,224
601,254,224
602,253,224
603,252,224
604,251,224
605,250,224
606,249,224
607,248,224
608,247,224
609,246,224
610,245,224
611,244,224
612,243,224
613,242,224
614,241,224
615,240,224
616,239,224
617,238,224
618,237,224
619,236,224
620,235,224
621,234,224
622,233,224
623,232,224
624,231,224
625,230,224
626,229,224
627,228,224
628,227,224
629,226,224
630,225,224
631,224,224
632,223,224
633,222,224
634,221,224
635,220,224
636,219,224
637,218,224
638,217,224
639,216,224
640,215,224
641,214,224
642,213,224
643,212,224
644,211,224
645,210,224
646,209,224
647,208,224
648,207,224
649,206,224
650,205,224
651,204,224
652,203,224
653,202,224
654,201,224
655,200,224
656,199,224
657,198,224
658,197,224
659,196,224
660,195,224
661,194,224
662,193,224
663,192,224
664,191,224
665,190,224
666,189,224
667,188,224
668,187,224
669,186,224
670,185,224
671,184,224
672,183,224
673,182,224
674,181,224
675,180,224
676,179,224
677,178,224
678,177,224
679,176,224
680,175,224
681,174,224
682,173,224
683,172,224
684,171,224
685,170,224
